param,F1,F2,F3,error,file_name,id,group,label,max_formant,speaker_num,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
2,6.791129376516299,-16.669102014558643,-23.622215316725587,0.000552890684798296,josef-fruehwald_speaker,0-0-115-1,group_0,ey,5815.384615384615,1,4,rainbow,1,0.0800000000000054,the,"",R,N,R,N,internal
3,5.6222502271051455,0.9892019467064296,-6.026380473442341,0.000552890684798296,josef-fruehwald_speaker,0-0-115-1,group_0,ey,5815.384615384615,1,4,rainbow,1,0.0800000000000054,the,"",R,N,R,N,internal
4,-0.9125305300669321,3.025557841188206,-8.389392185271744,0.000552890684798296,josef-fruehwald_speaker,0-0-115-1,group_0,ey,5815.384615384615,1,4,rainbow,1,0.0800000000000054,the,"",R,N,R,N,internal
0,257.71275791728596,1299.9028781112356,1640.0746802799983,0.0004631833153527476,josef-fruehwald_speaker,0-0-123-5,group_0,ey,5466.666666666667,1,4,explained,1,0.10000000000000142,have,the,L,N,L,N,internal
1,43.604361853395055,-51.9782624004274,22.511045779272788,0.0004631833153527476,josef-fruehwald_speaker,0-0-123-5,group_0,ey,5466.666666666667,1,4,explained,1,0.10000000000000142,have,the,L,N,L,N,internal
2,1.7289284125195752,-46.1589547324346,-5.556819233207651,0.0004631833153527476,josef-fruehwald_speaker,0-0-123-5,group_0,ey,5466.666666666667,1,4,explained,1,0.10000000000000142,have,the,L,N,L,N,internal
3,-2.508468185468445,-19.77277799054265,12.010815758407261,0.0004631833153527476,josef-fruehwald_speaker,0-0-123-5,group_0,ey,5466.666666666667,1,4,explained,1,0.10000000000000142,have,the,L,N,L,N,internal
4,-1.6875198272215233,-14.813854670236108,9.0416327237399,0.0004631833153527476,josef-fruehwald_speaker,0-0-123-5,group_0,ey,5466.666666666667,1,4,explained,1,0.10000000000000142,have,the,L,N,L,N,internal
0,308.25872009211815,1349.4973110044468,1588.6154522981426,0.0001934060636616956,josef-fruehwald_speaker,0-0-125-1,group_0,ey,6338.461538461539,1,4,rainbow,1,0.0799999999999983,the,in,R,N,R,N,internal
1,14.115170291614803,-3.588113496019083,-0.8552378066039875,0.0001934060636616956,josef-fruehwald_speaker,0-0-125-1,group_0,ey,6338.461538461539,1,4,rainbow,1,0.0799999999999983,the,in,R,N,R,N,internal
2,-6.143080071819038,-8.767693696220704,-3.469460047909158,0.0001934060636616956,josef-fruehwald_speaker,0-0-125-1,group_0,ey,6338.461538461539,1,4,rainbow,1,0.0799999999999983,the,in,R,N,R,N,internal
3,-4.656673395210396,5.65853704133038,-4.533721461256191,0.0001934060636616956,josef-fruehwald_speaker,0-0-125-1,group_0,ey,6338.461538461539,1,4,rainbow,1,0.0799999999999983,the,in,R,N,R,N,internal
4,-11.024993306715281,-8.344583172597865,-8.874339775288853,0.0001934060636616956,josef-fruehwald_speaker,0-0-125-1,group_0,ey,6338.461538461539,1,4,rainbow,1,0.0799999999999983,the,in,R,N,R,N,internal
0,247.72520951905955,1387.873292241233,1673.2977431366924,0.004179042527581685,josef-fruehwald_speaker,0-0-128-1,group_0,ey,5292.307692307692,1,4,ways,1,0.23999999999999488,various,"",W,Z,W,Z,internal
1,37.15528140030923,-94.22079974261608,-33.62727613214066,0.004179042527581685,josef-fruehwald_speaker,0-0-128-1,group_0,ey,5292.307692307692,1,4,ways,1,0.23999999999999488,various,"",W,Z,W,Z,internal
2,15.480550340000114,-87.42449917928224,-23.05830189173698,0.004179042527581685,josef-fruehwald_speaker,0-0-128-1,group_0,ey,5292.307692307692,1,4,ways,1,0.23999999999999488,various,"",W,Z,W,Z,internal
3,0.21230923180189132,-16.241468642750316,12.142795885724535,0.004179042527581685,josef-fruehwald_speaker,0-0-128-1,group_0,ey,5292.307692307692,1,4,ways,1,0.23999999999999488,various,"",W,Z,W,Z,internal
4,3.1632205814581735,-17.77887094704906,11.81710188914442,0.004179042527581685,josef-fruehwald_speaker,0-0-128-1,group_0,ey,5292.307692307692,1,4,ways,1,0.23999999999999488,various,"",W,Z,W,Z,internal
0,259.5996770810573,1384.8252132400492,1677.8663111919398,0.0033779738815755507,josef-fruehwald_speaker,0-0-141-7,group_0,ey,4943.589743589744,1,4,explanation,1,0.11999999999999744,physical,"",N,SH,N,SH,internal
1,24.07579928032469,-78.6693827808842,-10.864258192640811,0.0033779738815755507,josef-fruehwald_speaker,0-0-141-7,group_0,ey,4943.589743589744,1,4,explanation,1,0.11999999999999744,physical,"",N,SH,N,SH,internal
2,1.9521301852971196,-26.974151711897843,10.105185477624692,0.0033779738815755507,josef-fruehwald_speaker,0-0-141-7,group_0,ey,4943.589743589744,1,4,explanation,1,0.11999999999999744,physical,"",N,SH,N,SH,internal
3,-4.843989379921844,-11.640996420344335,3.6461776869728477,0.0033779738815755507,josef-fruehwald_speaker,0-0-141-7,group_0,ey,4943.589743589744,1,4,explanation,1,0.11999999999999744,physical,"",N,SH,N,SH,internal
4,-3.192668243922945,-3.3308949204462435,-5.896168817772638,0.0033779738815755507,josef-fruehwald_speaker,0-0-141-7,group_0,ey,4943.589743589744,1,4,explanation,1,0.11999999999999744,physical,"",N,SH,N,SH,internal
0,325.7993800131665,1311.2408826979104,1521.0829771379836,0.0011261482573877927,josef-fruehwald_speaker,0-0-163-1,group_0,ey,5117.948717948718,1,4,rain,1,0.10999999999999943,heavy,"",R,N,R,N,internal
1,3.019557127792243,-102.41305932826931,-75.18925787384006,0.0011261482573877927,josef-fruehwald_speaker,0-0-163-1,group_0,ey,5117.948717948718,1,4,rain,1,0.10999999999999943,heavy,"",R,N,R,N,internal
2,-26.714708072157503,-6.7465988706748705,-41.17920515681493,0.0011261482573877927,josef-fruehwald_speaker,0-0-163-1,group_0,ey,5117.948717948718,1,4,rain,1,0.10999999999999943,heavy,"",R,N,R,N,internal
3,-2.4641251113729195,-21.86152948162393,3.840763543058531,0.0011261482573877927,josef-fruehwald_speaker,0-0-163-1,group_0,ey,5117.948717948718,1,4,rain,1,0.10999999999999943,heavy,"",R,N,R,N,internal
4,3.297585164054006,4.0933571611637305,-7.3929749717565025,0.0011261482573877927,josef-fruehwald_speaker,0-0-163-1,group_0,ey,5117.948717948718,1,4,rain,1,0.10999999999999943,heavy,"",R,N,R,N,internal
0,269.577068505495,1410.1112180682119,1853.718152580152,0.0006381612981130332,josef-fruehwald_speaker,0-0-169-1,group_0,ey,6687.179487179487,1,4,rainbow,1,0.09000000000000341,the,as,R,N,R,N,internal
1,-29.43461391194433,-48.28740501535902,-41.60307004447493,0.0006381612981130332,josef-fruehwald_speaker,0-0-169-1,group_0,ey,6687.179487179487,1,4,rainbow,1,0.09000000000000341,the,as,R,N,R,N,internal
2,11.77543462014182,-19.072415247269042,-4.895032011675464,0.0006381612981130332,josef-fruehwald_speaker,0-0-169-1,group_0,ey,6687.179487179487,1,4,rainbow,1,0.09000000000000341,the,as,R,N,R,N,internal
3,6.057438048997744,-2.3215581882335505,-8.213260519501135,0.0006381612981130332,josef-fruehwald_speaker,0-0-169-1,group_0,ey,6687.179487179487,1,4,rainbow,1,0.09000000000000341,the,as,R,N,R,N,internal
4,-8.984356388983029,-3.8863844556451763,-7.333416177297576,0.0006381612981130332,josef-fruehwald_speaker,0-0-169-1,group_0,ey,6687.179487179487,1,4,rainbow,1,0.09000000000000341,the,as,R,N,R,N,internal
0,289.97554482928615,1305.906254931878,1645.8911005694747,0.00007180827570340138,josef-fruehwald_speaker,0-0-195-5,group_0,ey,5292.307692307692,1,4,explain,1,0.09000000000000341,to,the,L,N,L,N,internal
1,14.923176768473724,-84.01990007522093,-13.658994926219698,0.00007180827570340138,josef-fruehwald_speaker,0-0-195-5,group_0,ey,5292.307692307692,1,4,explain,1,0.09000000000000341,to,the,L,N,L,N,internal
2,8.867850784507398,-34.47445056837464,8.389096806082023,0.00007180827570340138,josef-fruehwald_speaker,0-0-195-5,group_0,ey,5292.307692307692,1,4,explain,1,0.09000000000000341,to,the,L,N,L,N,internal
3,6.039402633548897,-6.376977599547752,4.617760497439536,0.00007180827570340138,josef-fruehwald_speaker,0-0-195-5,group_0,ey,5292.307692307692,1,4,explain,1,0.09000000000000341,to,the,L,N,L,N,internal
4,0.35519484658404793,-6.137499287683434,-4.550684476491471,0.00007180827570340138,josef-fruehwald_speaker,0-0-195-5,group_0,ey,5292.307692307692,1,4,explain,1,0.09000000000000341,to,the,L,N,L,N,internal
0,244.06141838114047,1414.3653262343012,1629.1377203219322,0.00045021303760185813,josef-fruehwald_speaker,0-0-206-1,group_0,ey,5989.74358974359,1,4,rainbow,1,0.09000000000000341,the,was,R,N,R,N,internal
1,33.043508726654856,-38.322536798992395,-26.446948580994736,0.00045021303760185813,josef-fruehwald_speaker,0-0-206-1,group_0,ey,5989.74358974359,1,4,rainbow,1,0.09000000000000341,the,was,R,N,R,N,internal
2,-6.572776745927383,-27.789416600338498,-20.16659567658471,0.00045021303760185813,josef-fruehwald_speaker,0-0-206-1,group_0,ey,5989.74358974359,1,4,rainbow,1,0.09000000000000341,the,was,R,N,R,N,internal
3,6.622999705673515,-21.73770078178835,-5.074858635326998,0.00045021303760185813,josef-fruehwald_speaker,0-0-206-1,group_0,ey,5989.74358974359,1,4,rainbow,1,0.09000000000000341,the,was,R,N,R,N,internal
4,3.313928803179003,-1.3940490293654186,-6.345068015810113,0.00045021303760185813,josef-fruehwald_speaker,0-0-206-1,group_0,ey,5989.74358974359,1,4,rainbow,1,0.09000000000000341,the,was,R,N,R,N,internal
0,226.0374960337937,1420.6571381851963,1712.3727210383017,0.00026218845017019713,josef-fruehwald_speaker,0-0-215-1,group_0,ey,6512.820512820513,1,4,rays,1,0.20000000000000284,sun's,by,R,Z,R,Z,internal
1,14.608401802084234,-49.59292103659702,-29.75234318511456,0.00026218845017019713,josef-fruehwald_speaker,0-0-215-1,group_0,ey,6512.820512820513,1,4,rays,1,0.20000000000000284,sun's,by,R,Z,R,Z,internal
